iter	Logloss
0	0.6728343093
1	0.6560773867
2	0.6426238023
3	0.6285850753
4	0.6182079443
5	0.6063973461
6	0.5954010237
7	0.580833021
8	0.5673776377
9	0.5575402114
10	0.5500361879
11	0.5427696675
12	0.5351019089
13	0.5302073504
14	0.5239230784
15	0.5190972011
16	0.5143085081
17	0.5096562498
18	0.5061811594
19	0.5007700008
20	0.4968608889
21	0.4933732963
22	0.4903167951
23	0.48605771
24	0.4816023498
25	0.4775974295
26	0.4738860948
27	0.4712402526
28	0.4685640791
29	0.4638339419
30	0.4605656137
31	0.457855554
32	0.4553270379
33	0.4523173708
34	0.4496861463
35	0.4489959506
36	0.4466458139
37	0.4445197455
38	0.4424420046
39	0.4403300354
40	0.4391999172
41	0.436328914
42	0.4335803393
43	0.4315373169
44	0.4304623019
45	0.4291951954
46	0.4272247979
47	0.4260650193
48	0.4242995937
49	0.4230790822
50	0.4223390701
51	0.4209370601
52	0.4194314318
53	0.4184532424
54	0.4176301465
55	0.4164066682
56	0.4151091243
57	0.4138813327
58	0.4128682196
59	0.4115795391
60	0.4101908582
61	0.4088961546
62	0.4078112869
63	0.4066172358
64	0.4056068899
65	0.40476514
66	0.4029074952
67	0.401659387
68	0.4011656697
69	0.3999960735
70	0.3991677695
71	0.3982635053
72	0.3974835823
73	0.3968770381
74	0.3960326363
75	0.3947125458
76	0.3931824426
77	0.392707666
78	0.3916659523
79	0.3910092048
80	0.3895398877
81	0.3887686487
82	0.3874716671
83	0.3868133398
84	0.3852588495
85	0.3845865791
86	0.3835979336
87	0.3823366985
88	0.3811736071
89	0.3802647315
90	0.37869801
91	0.3782144564
92	0.3769649781
93	0.3752996378
94	0.3744853205
95	0.3724936937
96	0.3717550326
97	0.3709121267
98	0.3701648197
99	0.3698115821
100	0.3690087356
101	0.3675398935
102	0.3667951353
103	0.3652203276
104	0.3645186842
105	0.3638947567
106	0.3634901505
107	0.3622264903
108	0.3614446349
109	0.3604395552
110	0.3598032274
111	0.3587873141
112	0.3578484047
113	0.3574741749
114	0.3570077544
115	0.3561799711
116	0.355531519
117	0.354575786
118	0.3536504998
119	0.3526128926
120	0.35185298
121	0.3514119403
122	0.350263701
123	0.3495380284
124	0.3489805473
125	0.3483270475
126	0.3471459167
127	0.3455381267
128	0.3448335383
129	0.3439382585
130	0.3435282735
131	0.3432942657
132	0.3419155458
133	0.3412579789
134	0.3409506079
135	0.3398342015
136	0.3394122686
137	0.3385140989
138	0.3377531727
139	0.3367083475
140	0.3356723347
141	0.3352693446
142	0.3348992253
143	0.3343689705
144	0.333604623
145	0.3331667992
146	0.3324510996
147	0.3314356147
148	0.3299027852
149	0.3287124307
150	0.3281130345
151	0.3276890715
152	0.3263512667
153	0.3259815562
154	0.3252398148
155	0.3239406554
156	0.3233754618
157	0.3227095457
158	0.3222775792
159	0.3208827012
160	0.3200289631
161	0.3196682105
162	0.3186593995
163	0.3172793607
164	0.3163730856
165	0.315648451
166	0.3147510259
167	0.313590463
168	0.3126973169
169	0.3106965469
170	0.3104582433
171	0.3098641985
172	0.3089883027
173	0.3080190653
174	0.3071673053
175	0.3059961006
176	0.3056029285
177	0.3054721457
178	0.3044663877
179	0.3039224101
180	0.3024808307
181	0.3023359715
182	0.3017750725
183	0.3010114228
184	0.3006751251
185	0.3003256068
186	0.2997217576
187	0.2988418253
188	0.2980636405
189	0.2979051797
190	0.2969410544
191	0.2958548701
192	0.2956720504
193	0.2941700836
194	0.2931717652
195	0.2929994298
196	0.2923301678
197	0.2917669993
198	0.2916007862
199	0.2911755027
200	0.2898072491
201	0.2886620994
202	0.2873258197
203	0.2866683164
204	0.2858450891
205	0.2852600067
206	0.2840040024
207	0.2836418162
208	0.2823295785
209	0.2816734887
210	0.2803541648
211	0.2795033112
212	0.2785341215
213	0.2782059358
214	0.2772190989
215	0.2767930221
216	0.2756295813
217	0.275065425
218	0.2741157405
219	0.2729912878
220	0.2717746059
221	0.2708116205
222	0.2701372561
223	0.269271748
224	0.2682189663
225	0.266759969
226	0.2655803489
227	0.2644264084
228	0.2637708417
229	0.2630698433
230	0.262004519
231	0.261815018
232	0.2605755815
233	0.2600749688
234	0.2590483201
235	0.2583513445
236	0.2580485667
237	0.2572056616
238	0.2561746775
239	0.2552380017
240	0.2540371599
241	0.2538670715
242	0.2532680646
243	0.2521835118
244	0.2511343984
245	0.2504903348
246	0.2498595603
247	0.248653714
248	0.2481911611
249	0.2475506332
250	0.2468533106
251	0.2455647298
252	0.2453848708
253	0.2449929313
254	0.243989706
255	0.243797906
256	0.2434966275
257	0.2432246023
258	0.2422716886
259	0.2412163676
260	0.2402894543
261	0.2394826264
262	0.2390052427
263	0.2383567761
264	0.2373780067
265	0.236349204
266	0.2359734382
267	0.2355430556
268	0.234664786
269	0.2337873267
270	0.2332195718
271	0.2324974837
272	0.2317534921
273	0.2311864412
274	0.2307265345
275	0.2302504133
276	0.2301722177
277	0.229416443
278	0.2284820742
279	0.2274398137
280	0.2268733841
281	0.2262124613
282	0.2246714913
283	0.2238624394
284	0.2232036667
285	0.222232206
286	0.2215168151
287	0.2212840135
288	0.2204669947
289	0.2201296872
290	0.2194042849
291	0.2184681731
292	0.2176703496
293	0.2171962651
294	0.2166781234
295	0.2163027505
296	0.215631539
297	0.2150311835
298	0.2145082241
299	0.2139295439
300	0.2133842968
301	0.2132365263
302	0.2124196203
303	0.211519661
304	0.2109313597
305	0.2101336531
306	0.2093638965
307	0.2086505395
308	0.2084585248
309	0.2077952106
310	0.2074072881
311	0.2067807059
312	0.2061624913
313	0.2056773405
314	0.2053199415
315	0.2050866286
316	0.204631869
317	0.2041746843
318	0.2036193302
319	0.2032779201
320	0.2024665107
321	0.202400273
322	0.2016477869
323	0.2015934543
324	0.2009541607
325	0.2008739941
326	0.1999112592
327	0.1992294692
328	0.198959528
329	0.1983690226
330	0.1982088246
331	0.1978267958
332	0.1977120501
333	0.1972331513
334	0.1971860788
335	0.196616194
336	0.1957345582
337	0.1954542284
338	0.1947718505
339	0.1939924078
